"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"HXB7_HUMAN.H11MO.0.C","HXB7_HUMAN.H11MO.0.C",639,4052,14.4081172491545,12.4275417880693,1.15936984923169,1.30489699647238e-05,"HXB7",8.57809337025286e-05
"HXB8_HUMAN.H11MO.0.C","HXB8_HUMAN.H11MO.0.C",561,3521,12.6493799323563,10.7989572151511,1.17135198152365,1.53989889060447e-05,"HXB8",9.85020437259332e-05
"TF7L1_HUMAN.H11MO.0.B","TF7L1_HUMAN.H11MO.0.B",891,5812,20.0901916572717,17.825486888514,1.12704869061484,1.54753834282638e-05,"TF7L1",9.85020437259332e-05
"FOXO1_HUMAN.H11MO.0.A","FOXO1_HUMAN.H11MO.0.A",1298,8704,29.2671927846674,26.6952921331084,1.09634285471517,1.9311124363414e-05,"FOXO1",0.000120996263589516
"GATA6_HUMAN.H11MO.0.A","GATA6_HUMAN.H11MO.0.A",639,4074,14.4081172491545,12.4950161018249,1.15310913821473,2.51188303605183e-05,"GATA6",0.000154963861147198
"FEZF1_HUMAN.H11MO.0.C","FEZF1_HUMAN.H11MO.0.C",1385,9356,31.2288613303269,28.6949854316823,1.08830378759653,3.60258622430022e-05,"FEZF1",0.000218884405446119
"NKX61_HUMAN.H11MO.0.B","NKX61_HUMAN.H11MO.0.B",928,6120,20.9244644870349,18.7701272810919,1.1147747787578,5.02539197550409e-05,"NKX61",0.000300773460026439
"DBP_HUMAN.H11MO.0.B","DBP_HUMAN.H11MO.0.B",516,3256,11.6347237880496,9.98619843582273,1.16508037195749,6.07740886661013e-05,"DBP",0.000358388375810391
"STAT2_HUMAN.H11MO.0.A","STAT2_HUMAN.H11MO.0.A",2385,16662,53.7767756482525,51.1025916270511,1.05232971432678,6.71049399069938e-05,"STAT2",0.000389986679749341
"TWST1_HUMAN.H11MO.0.A","TWST1_HUMAN.H11MO.0.A",849,5581,19.1431792559188,17.1170065940807,1.11837190403016,7.58065782599155e-05,"TWST1",0.000434263398317516
"GATA2_HUMAN.H11MO.0.A","GATA2_HUMAN.H11MO.0.A",658,4247,14.836527621195,13.0256095690845,1.13902750903947,7.98315407381368e-05,"GATA2",0.000450879546985815
"ZN350_HUMAN.H11MO.0.C","ZN350_HUMAN.H11MO.0.C",1299,8790,29.2897406989853,26.9590553596074,1.08645278212789,9.9744808459019e-05,"ZN350",0.000555523169334259
"ZN250_HUMAN.H11MO.0.C","ZN250_HUMAN.H11MO.0.C",575,3682,12.9650507328072,11.2927465112713,1.14808658105155,0.000107310183492424,"ZN250",0.000589471007951534
"ZNF85_HUMAN.H11MO.0.C","ZNF85_HUMAN.H11MO.0.C",921,6115,20.7666290868095,18.7547922097838,1.10727055008246,0.000139120379790302,"ZNF85",0.00075388205805285
"BATF_HUMAN.H11MO.0.A","BATF_HUMAN.H11MO.0.A",736,4824,16.5952649379932,14.7952767980371,1.12165964615106,0.000181711777830856,"BATF",0.000971552305468977
"PDX1_HUMAN.H11MO.0.A","PDX1_HUMAN.H11MO.0.A",459,2903,10.3494926719278,8.90354240147217,1.16240168297695,0.000195577458935122,"PDX1",0.00103192843464452
"DLX3_HUMAN.H11MO.0.C","DLX3_HUMAN.H11MO.0.C",422,2662,9.5152198421646,8.16439196442263,1.16545357984139,0.000288483914594616,"DLX3",0.00150236428249923
"ZN260_HUMAN.H11MO.0.C","ZN260_HUMAN.H11MO.0.C",701,4611,15.8060879368658,14.1420027603128,1.11766969677187,0.000392371530250062,"ZN260",0.00201719209782404
"SOX10_HUMAN.H11MO.0.B","SOX10_HUMAN.H11MO.0.B",880,5874,19.8421645997745,18.0156417727342,1.10138538776923,0.000401672793265694,"SOX10",0.00203887076075371
"GATA1_HUMAN.H11MO.0.A","GATA1_HUMAN.H11MO.0.A",575,3732,12.9650507328072,11.4460972243521,1.13270492803639,0.000409999930151893,"GATA1",0.00205512464988636
"TCF7_HUMAN.H11MO.0.A","TCF7_HUMAN.H11MO.0.A",1013,6826,22.8410372040586,20.935439349793,1.09102258722287,0.000468377786311316,"TCF7",0.00231875916433133
"MAFK_HUMAN.H11MO.0.A","MAFK_HUMAN.H11MO.0.A",740,4906,16.6854565952649,15.0467719674897,1.10890605847659,0.000627306032923659,"MAFK",0.00306767950246814
"TF7L2_HUMAN.H11MO.0.A","TF7L2_HUMAN.H11MO.0.A",796,5304,17.9481397970688,16.2674436436129,1.10331654993105,0.000667317831524634,"TF7L2",0.0032240295233901
"CEBPG_HUMAN.H11MO.0.B","CEBPG_HUMAN.H11MO.0.B",557,3628,12.5591882750846,11.127127741144,1.12869992753344,0.000702184210767514,"CEBPG",0.00335209367283063
"AIRE_HUMAN.H11MO.0.C","AIRE_HUMAN.H11MO.0.C",565,3685,12.739571589628,11.3019475540561,1.12720144282176,0.000723500309988306,"AIRE",0.00341321910947425
"LEF1_HUMAN.H11MO.0.A","LEF1_HUMAN.H11MO.0.A",1496,10325,33.7316798196167,31.6669222511885,1.06520234432794,0.000817821244807697,"LEF1",0.00381332929264984
"ZFP82_HUMAN.H11MO.0.C","ZFP82_HUMAN.H11MO.0.C",2083,14623,46.967305524239,44.8489495476154,1.04723312358464,0.00121275597296029,"ZFP82",0.00558982925467906
"ATF4_HUMAN.H11MO.0.A","ATF4_HUMAN.H11MO.0.A",493,3205,11.1161217587373,9.82978070848029,1.13086162228902,0.00123671128601113,"ATF4",0.00563546847375527
"BRAC_HUMAN.H11MO.0.A","BRAC_HUMAN.H11MO.0.A",835,5617,18.8275084554679,17.2274191074989,1.09288038666642,0.00140305889584021,"BRAC",0.00632164738462835
"SOX9_HUMAN.H11MO.0.B","SOX9_HUMAN.H11MO.0.B",908,6156,20.4735062006764,18.88053979451,1.08437080843576,0.00202911603461437,"SOX9",0.00904083922089293
"FOXH1_HUMAN.H11MO.0.A","FOXH1_HUMAN.H11MO.0.A",605,4012,13.641488162345,12.3048612176047,1.10862592605498,0.00212323736559168,"FOXH1",0.00935624377584906
"NR4A1_HUMAN.H11MO.0.A","NR4A1_HUMAN.H11MO.0.A",985,6716,22.2096956031567,20.5980677810152,1.07824169913777,0.00243181284265798,"NR4A1",0.010599532064194
"SOX17_HUMAN.H11MO.0.C","SOX17_HUMAN.H11MO.0.C",685,4598,15.445321307779,14.1021315749118,1.09524728412383,0.00329732835498928,"SOX17",0.0142175125844162
"TAL1_HUMAN.H11MO.0.A","TAL1_HUMAN.H11MO.0.A",505,3335,11.3866967305524,10.2284925624904,1.11323312413692,0.00367234874594773,"TAL1",0.0156660834800536
"ISL1_HUMAN.H11MO.0.A","ISL1_HUMAN.H11MO.0.A",386,2517,8.70349492671928,7.71967489648827,1.12744319461932,0.00498845626259094,"ISL1",0.021056536434726
"SOX4_HUMAN.H11MO.0.B","SOX4_HUMAN.H11MO.0.B",1374,9563,30.9808342728298,29.3298573838368,1.05628997329877,0.00507484043486665,"SOX4",0.0211980313998076
"RFX3_HUMAN.H11MO.0.B","RFX3_HUMAN.H11MO.0.B",657,4428,14.8139797068771,13.580739150437,1.09080805858791,0.0056462486705087,"RFX3",0.0233417084213813
"OZF_HUMAN.H11MO.0.C","OZF_HUMAN.H11MO.0.C",797,5430,17.9706877113867,16.6538874405766,1.07906864241209,0.00633820932476768,"OZF",0.0259349177472637
"FOXI1_HUMAN.H11MO.0.B","FOXI1_HUMAN.H11MO.0.B",722,4920,16.2795941375423,15.0897101671523,1.07885399767188,0.00958235239356565,"FOXI1",0.0388133667658568
"ZN136_HUMAN.H11MO.0.C","ZN136_HUMAN.H11MO.0.C",699,4757,15.76099210823,14.5897868425088,1.0802756941115,0.00971793526320051,"ZN136",0.038968920405434
"PO3F2_HUMAN.H11MO.0.A","PO3F2_HUMAN.H11MO.0.A",831,5701,18.7373167981962,17.4850483054746,1.07161938994069,0.0100008499021595,"PO3F2",0.039706344661049
"HXA1_HUMAN.H11MO.0.C","HXA1_HUMAN.H11MO.0.C",514,3471,11.5896279594138,10.6456065020702,1.08867709483344,0.0158133894320482,"HXA1",0.0621683251201112
"PRDM6_HUMAN.H11MO.0.C","PRDM6_HUMAN.H11MO.0.C",2346,16758,52.8974069898534,51.3970249961662,1.02919200077824,0.0163755793579473,"PRDM6",0.0637534691508435
"HXB4_HUMAN.H11MO.0.B","HXB4_HUMAN.H11MO.0.B",298,1958,6.71927846674183,6.00521392424475,1.1189074280292,0.0180663007008044,"HXB4",0.0696594863559861
"JUND_HUMAN.H11MO.0.A","JUND_HUMAN.H11MO.0.A",851,5888,19.1882750845547,18.0585799723969,1.0625572505637,0.0191061618457526,"JUND",0.0729673419061598
"ZN418_HUMAN.H11MO.0.C","ZN418_HUMAN.H11MO.0.C",1282,9010,28.9064261555806,27.633798497163,1.04605330166782,0.0219511830301366,"ZN418",0.0830417395762714
"ZN214_HUMAN.H11MO.0.C","ZN214_HUMAN.H11MO.0.C",768,5307,17.3167981961669,16.2766446863978,1.0639046640023,0.0234864519715518,"ZN214",0.0880193200055351
