GENE name,Symbol
SUSD2,Cell division
GKN1,Cell division
PARD3,Cell division
FMN2,Cell division
SPIRE1,Cell division
PDXP,Cell division
KNL1,Cell division
CHMP1B,Cell division
PTCH1,Cell division
KAT14,Cell division
SPC25,Cell division
BIRC6,Cell division
KLHL42,Cell division
MICAL3,Cell division
PTN,Cell division
USP37,Cell division
MARK4,Cell division
BBS4,Cell division
RAD21,Cell division
RALA,Cell division
RALB,Cell division
RAN,Cell division
RASA1,Cell division
RB1,Cell division
RBBP8,Cell division
CCND1,Cell division
OPN1LW,Cell division
BCL2L1,Cell division
RFPL1,Cell division
EXOC4,Cell division
ROCK1,Cell division
RPS3,Cell division
RTKN,Cell division
KIF13A,Cell division
PRDM15,Cell division
BLM,Cell division
NCAPG,Cell division
SFRP2,Cell division
TENT4B,Cell division
CXCR5,Cell division
SOX17,Cell division
SYCE3,Cell division
ANAPC1,Cell division
SHH,Cell division
GAREM1,Cell division
BMI1,Cell division
WNK1,Cell division
SON,Cell division
SOX5,Cell division
SPAST,Cell division
SPTBN1,Cell division
BRCA2,Cell division
SSTR5,Cell division
ZFP36L2,Cell division
NEK4,Cell division
AURKA,Cell division
AURKC,Cell division
SVIL,Cell division
SYCP1,Cell division
BTC,Cell division
TACC1,Cell division
TADA2A,Cell division
TAL1,Cell division
TAFAZZIN,Cell division
BUB1,Cell division
DYNLT3,Cell division
DYNLT1,Cell division
TEAD3,Cell division
BUB1B,Cell division
TERF1,Cell division
TGFA,Cell division
TGFB1,Cell division
TGFB2,Cell division
TGFB3,Cell division
THBS4,Cell division
TIAL1,Cell division
TOP1,Cell division
TOP2A,Cell division
TPR,Cell division
TSG101,Cell division
OPN1MW2,Cell division
UBE2I,Cell division
UVRAG,Cell division
VEGFA,Cell division
VEGFB,Cell division
VEGFC,Cell division
VRK1,Cell division
WEE1,Cell division
WNT7A,Cell division
WNT9B,Cell division
ZNF16,Cell division
ZBTB16,Cell division
ZNF207,Cell division
EVI5,Cell division
TUBA1A,Cell division
MIS12,Cell division
NUP37,Cell division
BRCC3,Cell division
FSD1,Cell division
NOX5,Cell division
HAUS3,Cell division
OR2A4,Cell division
CHMP6,Cell division
E2F8,Cell division
TLE6,Cell division
CSPP1,Cell division
BORA,Cell division
MAP9,Cell division
MCMBP,Cell division
DSN1,Cell division
ANKRD53,Cell division
CALM1,Cell division
CENPT,Cell division
MYO19,Cell division
CEP63,Cell division
PDGFD,Cell division
REEP4,Cell division
CALM2,Cell division
AKNA,Cell division
CALM3,Cell division
TAS1R2,Cell division
HMGA2,Cell division
LBH,Cell division
FAM83D,Cell division
CDT1,Cell division
SHCBP1L,Cell division
CABLES2,Cell division
SEH1L,Cell division
NCOA3,Cell division
USP9X,Cell division
SMC1A,Cell division
CDC7,Cell division
FZD7,Cell division
CDCA3,Cell division
NUF2,Cell division
MAD1L1,Cell division
SETDB2,Cell division
HMCN1,Cell division
BRIP1,Cell division
USP44,Cell division
PROK1,Cell division
DYRK3,Cell division
RAB11FIP4,Cell division
LZTS2,Cell division
SPIRE2,Cell division
CUL3,Cell division
PARD6G,Cell division
PARD6B,Cell division
KIF2B,Cell division
SPATA22,Cell division
CAT,Cell division
PSRC1,Cell division
FUT10,Cell division
TUBA1C,Cell division
RAE1,Cell division
KLHL22,Cell division
MASTL,Cell division
ZFYVE19,Cell division
PKP4,Cell division
CCNB3,Cell division
DOCK7,Cell division
LRRCC1,Cell division
DIXDC1,Cell division
CDC14B,Cell division
CDC14A,Cell division
RUVBL1,Cell division
TP63,Cell division
SSNA1,Cell division
NUMB,Cell division
TNKS,Cell division
BECN1,Cell division
CDC23,Cell division
RAB11A,Cell division
CCNK,Cell division
IQGAP1,Cell division
KAT2B,Cell division
CDC123,Cell division
CDC16,Cell division
CCNA2,Cell division
CCNA1,Cell division
CCNB1,Cell division
TIMELESS,Cell division
CCND2,Cell division
CCND3,Cell division
WASL,Cell division
WNT3A,Cell division
LMLN,Cell division
CCNE1,Cell division
CCNF,Cell division
SAPCD2,Cell division
CCNG1,Cell division
CCNG2,Cell division
TMEM250,Cell division
BRSK2,Cell division
RNF8,Cell division
KLHL13,Cell division
CCNT1,Cell division
KNSTRN,Cell division
CCNT2,Cell division
PRC1,Cell division
UNC119,Cell division
USP8,Cell division
LATS1,Cell division
SMC3,Cell division
BOD1,Cell division
CCNB2,Cell division
CCNE2,Cell division
CTDP1,Cell division
ZNF830,Cell division
TDRD12,Cell division
NEK9,Cell division
CABLES1,Cell division
CHMP7,Cell division
ARHGEF2,Cell division
ZW10,Cell division
BUB3,Cell division
AURKB,Cell division
PTTG1,Cell division
CHMP4C,Cell division
NUMBL,Cell division
ITGB1BP1,Cell division
HAUS8,Cell division
SYCE1,Cell division
KIF3B,Cell division
ACTR8,Cell division
RECQL5,Cell division
ROCK2,Cell division
KIF23,Cell division
VPS4B,Cell division
BCAR1,Cell division
BABAM2,Cell division
KIF20B,Cell division
ESPL1,Cell division
RAB11FIP3,Cell division
KNTC1,Cell division
CCP110,Cell division
CKAP5,Cell division
IST1,Cell division
CUL7,Cell division
CDK1,Cell division
SEPTIN7,Cell division
WASHC5,Cell division
CDC6,Cell division
KLHL21,Cell division
CDC20,Cell division
NCAPD2,Cell division
KIF14,Cell division
CDC25A,Cell division
DCLRE1A,Cell division
CDC25B,Cell division
CDC25C,Cell division
CDC27,Cell division
CDC42,Cell division
