"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group1prop","group2prop"
"SH2D7",1.51186838354552,-1.87221617110173,0.957190512314747,-1.95594936119268,0.0504711196965147,NA,0,0.000123931094311563
"LUNAR1",1.51333546285386,-1.86315027602459,0.950050593236821,-1.96110637611082,0.0498666151020416,NA,0,0.000247862188623126
"AC140725.1",1.57189687586383,-1.31951878331145,0.877667775905253,-1.50343765549608,0.132726222451027,0.204000691057194,0,0.00297434626347751
"Z92544.1",1.65559118968581,-0.821173880373701,0.824266276336301,-0.996248304642105,0.31912951453348,0.398482009119572,0,0.00743586565869377
"AL031008.1",1.57139840150899,-1.52461668862082,0.95141133190471,-1.60247900933508,0.109049725611027,0.179044288585199,0,0.000247862188623126
"C1QTNF8",1.59321607465899,-1.39368270818673,0.901003433203742,-1.54681176211632,0.121908643112112,0.192446872389182,0,0.000991448754492502
"LINC00514",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
"AC004233.1",1.69943482303781,-1.33126710983215,0.826871924429948,-1.61000400485231,0.107396982001626,0.177329363356617,0.00210970464135021,0.00297434626347751
"AC126763.1",1.55826882373773,-1.50522317070852,0.898454048023892,-1.67534797580264,0.0938659775511988,0.162953960995059,0,0.00161110422605032
"AC008870.1",1.56774084984845,-1.54463380992455,0.962098464515281,-1.60548412339766,0.108387304409049,0.178350817685877,0,0.000123931094311563
"NPIPB8",1.51684508448051,-1.80368342142327,0.957944713972374,-1.8828679725616,0.0597182625472377,NA,0,0.000123931094311563
"AC012645.2",1.67742851875008,-0.859623612425427,0.899441915210025,-0.955729989773381,0.339208666926638,0.418370676697779,0,0.00161110422605032
"AC135048.2",1.51920378008723,-1.80271942189994,0.934234132291852,-1.92962273544591,0.0536535996828003,NA,0,0.000743586565869377
"ITFG1-AS1",1.51333546285386,-1.86315027602459,0.950050593236821,-1.96110637611082,0.0498666151020416,NA,0,0.000247862188623126
"AC007906.1",1.60035827100199,-1.2524187697549,0.915294269915319,-1.36832362106972,0.17121080019754,0.246435020798885,0,0.000991448754492502
"CNGB1",2.08575662175624,-0.165590895542499,0.936473917680492,-0.176823820093829,0.859646778141021,0.887945955238614,0,0.000495724377246251
"BEAN1-AS1",1.51626962147055,-1.83552344751339,0.94059362043347,-1.95145215493541,0.0510032824373648,NA,0,0.000495724377246251
"AC018557.2",1.56090796375658,-1.40072601382342,0.910810771856332,-1.53788916106974,0.124075717932816,0.194723244260042,0,0.00123931094311563
"DERPC",1.51626962147055,-1.83552344751339,0.94059362043347,-1.95145215493541,0.0510032824373648,NA,0,0.000495724377246251
"AC092115.3",1.51684508448051,-1.80368342142327,0.957944713972374,-1.8828679725616,0.0597182625472377,NA,0,0.000123931094311563
